Feature,Value
 AU04_c_mean,0.065
 p_12_max,0.047
 p_2_var,0.047
 AU04_r_min,0.045
 p_2_std,0.043
 y_26_skew,0.042
 y_22_kurtosis,0.04
 p_10_max,0.037
 p_24_min,0.025
 eye_lmk_Z_9_kurtosis,0.022
 AU04_c_q75,0.021
 eye_lmk_Z_15_kurtosis,0.018
 p_19_max,0.017
 p_2_max,0.017
 AU04_c_iqr,0.017
 y_26_kurtosis,0.017
 p_10_median,0.017
 p_26_q75,0.016
 AU04_c_std,0.016
 AU04_r_mean,0.016
 p_10_q75,0.015
 p_2_iqr,0.015
 AU04_r_q75,0.014
 y_25_kurtosis,0.014
 AU04_r_max,0.014
 p_18_mean,0.013
 y_24_kurtosis,0.013
 p_10_q25,0.013
 y_23_kurtosis,0.012
 p_12_q75,0.012
 p_10_mean,0.012
 eye_lmk_Z_6_kurtosis,0.012
 p_2_range,0.012
 eye_lmk_Z_4_kurtosis,0.011
 AU04_r_range,0.011
 eye_lmk_Z_24_kurtosis,0.011
 eye_lmk_Z_23_kurtosis,0.011
 eye_lmk_Z_5_kurtosis,0.011
 AU04_c_var,0.01
 eye_lmk_Z_22_kurtosis,0.01
 eye_lmk_Z_8_kurtosis,0.01
 eye_lmk_Z_2_kurtosis,0.01
 eye_lmk_Z_16_kurtosis,0.01
 eye_lmk_Z_7_kurtosis,0.009
 AU04_r_median,0.009
 eye_lmk_Z_13_kurtosis,0.009
 eye_lmk_Z_18_kurtosis,0.009
 eye_lmk_Z_1_kurtosis,0.009
 eye_lmk_Z_14_kurtosis,0.008
 eye_lmk_Z_0_kurtosis,0.008
 AU04_r_q25,0.008
 eye_lmk_Z_17_kurtosis,0.008
 eye_lmk_Z_3_kurtosis,0.008
 eye_lmk_Z_19_kurtosis,0.007
 AU04_c_range,0.007
 AU04_c_max,0.006
 eye_lmk_Z_21_kurtosis,0.005
 eye_lmk_Z_20_kurtosis,0.005
 eye_lmk_Z_25_kurtosis,0.005
 eye_lmk_Z_12_kurtosis,0.004
 eye_lmk_Z_27_kurtosis,0.004
 eye_lmk_Z_11_kurtosis,0.004
 eye_lmk_Z_26_kurtosis,0.004
 AU04_c_median,0.004
 eye_lmk_Z_10_kurtosis,0.002
