Feature,Value
 p_12_max,0.106
 p_2_range,0.081
 AU12_r_kurtosis,0.075
 AU04_c_mean,0.074
 p_30_kurtosis,0.054
 p_24_min,0.045
 AU05_r_max,0.035
 p_10_q25,0.027
 AU12_r_skew,0.026
 p_10_q75,0.025
 p_18_median,0.025
 p_8_max,0.024
 p_18_mean,0.023
 p_10_mean,0.023
 AU05_r_std,0.022
 p_10_median,0.021
 p_10_max,0.021
 AU45_r_median,0.02
 AU05_r_range,0.02
 p_18_q25,0.019
 y_26_iqr,0.019
 AU04_c_std,0.019
 p_18_q75,0.018
 AU07_c_q25,0.018
 AU05_r_mean,0.017
 p_18_max,0.017
 AU05_r_var,0.016
 AU04_r_mean,0.015
 AU45_c_mean,0.013
 AU04_c_q75,0.013
 AU04_r_median,0.012
 AU04_c_var,0.012
 AU45_c_var,0.009
 AU45_c_std,0.009
 AU04_r_q75,0.009
 AU04_c_median,0.006
 AU04_c_max,0.004
 AU04_c_range,0.004
 AU04_c_q25,0.003
