Feature,Value
 AU12_r_kurtosis,0.058
 AU04_c_mean,0.048
 p_10_q25,0.035
 Z_9_var,0.031
 Z_58_std,0.03
 p_11_iqr,0.026
 Z_58_var,0.025
 Z_9_std,0.014
 p_11_var,0.013
 X_57_kurtosis,0.012
 x_59_kurtosis,0.011
 X_67_kurtosis,0.008
 eye_lmk_x_1_kurtosis,0.008
 p_11_std,0.008
 AU10_c_var,0.007
 Z_56_std,0.007
 x_52_kurtosis,0.007
 AU04_c_std,0.007
 Z_31_std,0.007
 AU04_c_q75,0.007
 Z_8_std,0.007
 x_41_kurtosis,0.007
 AU10_c_std,0.007
 Y_26_range,0.006
 p_10_mean,0.006
 Z_14_std,0.006
 Z_67_std,0.006
 p_8_max,0.006
 x_40_kurtosis,0.006
 y_26_range,0.006
 eye_lmk_x_10_kurtosis,0.006
 x_63_kurtosis,0.006
 p_30_kurtosis,0.006
 X_58_kurtosis,0.005
 Z_65_std,0.005
 X_51_kurtosis,0.005
 y_26_iqr,0.005
 eye_lmk_y_41_iqr,0.005
 p_11_range,0.005
 Y_26_std,0.005
 Z_62_std,0.005
 Z_57_std,0.005
 AU04_c_max,0.005
 AU04_c_var,0.005
 p_19_min,0.005
 AU17_r_max,0.005
 X_61_kurtosis,0.005
 eye_lmk_y_42_iqr,0.005
 Z_13_std,0.005
 Z_15_std,0.005
 p_10_median,0.005
 Z_66_std,0.005
 X_50_kurtosis,0.005
 Z_29_std,0.005
 p_10_q75,0.005
 eye_lmk_x_6_kurtosis,0.005
 Z_43_range,0.004
 y_26_std,0.004
 Z_10_std,0.004
 eye_lmk_Y_30_iqr,0.004
 Z_24_std,0.004
 eye_lmk_y_39_iqr,0.004
 Z_35_std,0.004
 Z_61_std,0.004
 Z_30_std,0.004
 AU10_c_iqr,0.004
 p_10_max,0.004
 Z_44_range,0.004
 eye_lmk_Y_53_iqr,0.004
 x_55_kurtosis,0.004
 Z_55_std,0.004
 x_60_kurtosis,0.004
 Z_21_std,0.004
 p_1_range,0.004
 x_34_kurtosis,0.004
 x_51_kurtosis,0.004
 Z_64_std,0.004
 X_59_kurtosis,0.004
 x_50_kurtosis,0.004
 Z_32_std,0.004
 AU17_r_range,0.004
 AU04_c_iqr,0.004
 Z_57_var,0.004
 eye_lmk_Y_52_iqr,0.004
 Z_11_std,0.004
 Z_26_std,0.004
 y_25_range,0.004
 Z_15_range,0.004
 Z_14_var,0.004
 Z_13_range,0.004
 x_20_kurtosis,0.004
 Z_11_range,0.003
 X_52_kurtosis,0.003
 eye_lmk_y_29_iqr,0.003
 x_53_kurtosis,0.003
 eye_lmk_Y_34_iqr,0.003
 eye_lmk_Y_40_iqr,0.003
 Z_14_range,0.003
 x_49_kurtosis,0.003
 Z_10_var,0.003
 Y_25_std,0.003
 Z_23_range,0.003
 Z_8_var,0.003
 eye_lmk_x_11_kurtosis,0.003
 Z_47_std,0.003
 Y_26_iqr,0.003
 eye_lmk_y_31_iqr,0.003
 Z_22_range,0.003
 X_30_kurtosis,0.003
 Z_52_var,0.003
 x_57_kurtosis,0.003
 Z_26_range,0.003
 Z_12_std,0.003
 Z_24_range,0.003
 X_56_kurtosis,0.003
 eye_lmk_x_0_kurtosis,0.003
 Y_44_iqr,0.003
 Z_62_var,0.003
 eye_lmk_x_15_kurtosis,0.003
 x_21_kurtosis,0.003
 eye_lmk_Y_41_iqr,0.003
 Z_52_std,0.003
 Y_45_iqr,0.003
 x_31_kurtosis,0.003
 Z_28_std,0.003
 Z_25_var,0.003
 Z_63_std,0.003
 eye_lmk_Y_42_iqr,0.003
 X_66_kurtosis,0.003
 Z_12_var,0.003
 y_25_std,0.003
 eye_lmk_y_40_iqr,0.003
 Z_25_std,0.003
 Z_26_var,0.003
 Z_64_var,0.003
 y_18_range,0.003
 x_61_kurtosis,0.003
 Z_31_var,0.002
 Z_21_var,0.002
 AU04_c_range,0.002
 y_26_var,0.002
 Z_46_var,0.002
 Z_22_std,0.002
 X_65_kurtosis,0.002
 Z_15_var,0.002
 eye_lmk_Y_35_iqr,0.002
