Feature,Value
 x_5_skew,0.097
 p_2_std,0.045
 p_2_var,0.038
 y_20_kurtosis,0.029
 eye_lmk_y_36_iqr,0.021
 p_21_max,0.019
 eye_lmk_y_29_iqr,0.017
 p_19_max,0.015
 eye_lmk_y_39_skew,0.012
 y_37_kurtosis,0.01
 x_4_skew,0.008
 AU07_c_q25,0.008
 p_12_q75,0.008
 p_17_kurtosis,0.007
 p_31_range,0.007
 eye_lmk_y_41_skew,0.007
 p_2_range,0.007
 y_23_kurtosis,0.007
 eye_lmk_y_54_kurtosis,0.006
 AU12_c_min,0.006
 y_44_skew,0.006
 p_33_max,0.006
 y_43_skew,0.006
 x_6_skew,0.006
 p_19_q75,0.006
 p_12_max,0.006
 y_21_kurtosis,0.006
 p_24_min,0.005
 eye_lmk_Y_14_std,0.005
 eye_lmk_y_40_skew,0.005
 eye_lmk_y_50_skew,0.005
 eye_lmk_y_31_skew,0.005
 AU04_r_max,0.005
 AU04_r_median,0.005
 y_22_kurtosis,0.005
 p_10_max,0.005
 gaze_angle_x_skew,0.005
 eye_lmk_y_30_iqr,0.005
 y_27_kurtosis,0.005
 p_21_range,0.005
 AU04_r_q75,0.005
 AU04_c_mean,0.005
 y_29_iqr,0.005
 eye_lmk_Y_17_iqr,0.005
 eye_lmk_y_28_skew,0.004
 AU04_r_mean,0.004
 eye_lmk_y_7_iqr,0.004
 y_53_iqr,0.004
 y_18_std,0.004
 y_56_iqr,0.004
 y_52_iqr,0.004
 eye_lmk_y_38_kurtosis,0.004
 eye_lmk_Y_13_iqr,0.004
 y_50_iqr,0.004
 eye_lmk_y_37_kurtosis,0.004
 y_24_iqr,0.004
 eye_lmk_y_38_skew,0.004
 AU05_r_std,0.004
 y_61_iqr,0.004
 p_19_mean,0.004
 eye_lmk_y_20_iqr,0.004
 eye_lmk_y_51_iqr,0.004
 p_19_median,0.004
 eye_lmk_y_33_iqr,0.004
 y_28_kurtosis,0.004
 eye_lmk_y_53_kurtosis,0.004
 p_21_iqr,0.004
 eye_lmk_Y_14_iqr,0.004
 y_30_iqr,0.004
 Y_27_iqr,0.004
 p_21_std,0.004
 eye_lmk_y_29_kurtosis,0.004
 p_24_std,0.004
 eye_lmk_y_52_kurtosis,0.004
 p_13_min,0.004
 eye_lmk_y_8_iqr,0.004
 y_54_iqr,0.004
 Y_66_iqr,0.004
 eye_lmk_y_39_kurtosis,0.004
 eye_lmk_y_30_kurtosis,0.004
 Y_24_kurtosis,0.004
 y_40_iqr,0.003
 y_49_iqr,0.003
 Y_46_iqr,0.003
 eye_lmk_Y_2_iqr,0.003
 y_51_iqr,0.003
 Y_42_iqr,0.003
 eye_lmk_y_2_kurtosis,0.003
 eye_lmk_y_16_iqr,0.003
 p_24_iqr,0.003
 y_63_iqr,0.003
 eye_lmk_y_55_kurtosis,0.003
 Y_26_iqr,0.003
 y_38_kurtosis,0.003
 eye_lmk_y_3_iqr,0.003
 eye_lmk_y_32_iqr,0.003
